date;open;high;low;close;volume;ticker;30d_ma;90d_ma
02.01.2024;14873.7;14887.8;14682.38;14765.94;5791170000.0;NASDAQ Composite;14556.987;13840.15311111111
03.01.2024;14641.47;14694.58;14577.44;14592.21;5449950000.0;NASDAQ Composite;14572.544666666667;13852.68911111111
04.01.2024;14532.23;14632.77;14504.78;14510.3;5289220000.0;NASDAQ Composite;14580.070333333333;13862.907444444447
05.01.2024;14500.11;14625.19;14477.57;14524.07;5232820000.0;NASDAQ Composite;14590.873333333333;13872.006777777777
08.01.2024;14564.47;14846.9;14560.2;14843.77;6337770000.0;NASDAQ Composite;14610.136999999999;13882.006888888887
09.01.2024;14744.13;14894.32;14716.71;14857.71;5068410000.0;NASDAQ Composite;14630.365666666667;13891.322444444444
10.01.2024;14877.7;14998.2;14842.7;14969.65;4404590000.0;NASDAQ Composite;14654.653333333332;13901.707777777778
11.01.2024;15020.95;15063.61;14800.38;14970.19;5044690000.0;NASDAQ Composite;14677.601;13912.134222222223
12.01.2024;15001.01;15047.25;14931.88;14972.76;4958940000.0;NASDAQ Composite;14701.41;13922.709888888889
16.01.2024;14908.26;15004.35;14863.81;14944.35;6386180000.0;NASDAQ Composite;14725.347666666667;13934.619666666667
17.01.2024;14814.77;14865.76;14706.23;14855.62;5181740000.0;NASDAQ Composite;14743.700666666666;13946.917333333335
18.01.2024;14994.52;15066.81;14911.11;15055.65;5587440000.0;NASDAQ Composite;14772.706;13961.296444444444
19.01.2024;15122.38;15310.97;15087.2;15310.97;5604950000.0;NASDAQ Composite;14808.741333333333;13976.775111111112
22.01.2024;15393.05;15438.85;15333.63;15360.29;5456240000.0;NASDAQ Composite;14849.194;13994.404888888888
23.01.2024;15391.41;15432.35;15337.23;15425.94;5207680000.0;NASDAQ Composite;14885.392333333333;14012.31988888889
24.01.2024;15560.61;15629.07;15468.91;15481.92;4983210000.0;NASDAQ Composite;14921.324;14029.607333333332
25.01.2024;15555.62;15597.25;15430.68;15510.5;5281570000.0;NASDAQ Composite;14957.257666666666;14049.631444444445
26.01.2024;15474.85;15538.84;15433.04;15455.36;4510530000.0;NASDAQ Composite;14987.989666666666;14069.02166666667
29.01.2024;15470.66;15630.58;15449.87;15628.04;4979310000.0;NASDAQ Composite;15017.792333333335;14090.686666666665
30.01.2024;15604.08;15619.23;15484.67;15509.9;4719240000.0;NASDAQ Composite;15042.737;14113.36188888889
31.01.2024;15324.19;15405.56;15158.49;15164.01;5875610000.0;NASDAQ Composite;15054.406666666668;14134.917777777779
01.02.2024;15254.02;15372.13;15208.88;15361.64;5046920000.0;NASDAQ Composite;15069.634333333333;14158.804777777777
02.02.2024;15403.16;15664.21;15366.78;15628.95;4800690000.0;NASDAQ Composite;15090.492;14185.000666666665
05.02.2024;15613.99;15637.88;15471.68;15597.68;4831020000.0;NASDAQ Composite;15117.816666666668;14213.157000000001
06.02.2024;15638.19;15652.75;15515.25;15609.0;4759640000.0;NASDAQ Composite;15139.321;14241.114222222222
07.02.2024;15690.35;15770.68;15645.81;15756.64;4567580000.0;NASDAQ Composite;15164.776666666667;14269.50711111111
08.02.2024;15762.23;15813.27;15739.18;15793.71;5675850000.0;NASDAQ Composite;15188.748;14298.111444444445
09.02.2024;15842.38;16007.29;15831.76;15990.66;5797260000.0;NASDAQ Composite;15218.464;14327.921333333335
12.02.2024;15980.62;16080.07;15917.87;15942.55;5458490000.0;NASDAQ Composite;15246.711000000001;14359.955555555556
13.02.2024;15598.88;15770.42;15551.44;15655.6;5599860000.0;NASDAQ Composite;15268.186;14386.83988888889
14.02.2024;15781.71;15865.51;15683.94;15859.15;5092660000.0;NASDAQ Composite;15304.626333333335;14416.165666666666
15.02.2024;15865.3;15911.22;15779.72;15906.17;6049100000.0;NASDAQ Composite;15348.425;14443.663777777778
16.02.2024;15910.43;15917.41;15752.02;15775.65;5223800000.0;NASDAQ Composite;15390.603333333334;14469.123888888887
20.02.2024;15679.84;15730.47;15508.5;15630.78;5595700000.0;NASDAQ Composite;15427.493666666667;14492.101
21.02.2024;15532.12;15583.68;15451.65;15580.87;4845740000.0;NASDAQ Composite;15452.063666666665;14513.447555555556
22.02.2024;15904.48;16061.82;15869.24;16041.62;5653930000.0;NASDAQ Composite;15491.527333333333;14540.86311111111
23.02.2024;16094.8;16134.22;15954.5;15996.82;5077910000.0;NASDAQ Composite;15525.766333333333;14569.636333333334
