user_workdays_count;recs_paid;recs_shown;conversion;user_work_years
59.0;0.0;314;0.0;0.2
1154.0;0.0;124;0.0;3.2
521.0;0.0;140;0.0;1.4
804.0;0.0;143;0.0;2.2
240.0;0.0;6;0.0;0.7
1388.0;0.0;157;0.0;3.8
45.0;0.0;3;0.0;0.1
982.0;0.0;459;0.0;2.7
547.0;0.0;120;0.0;1.5
452.0;0.0;8;0.0;1.2
1746.0;0.0;48;0.0;4.8
1742.0;0.0;1;0.0;4.8
305.0;0.0;29;0.0;0.8
756.0;0.0;2;0.0;2.1
532.0;0.0;7;0.0;1.5
1747.0;0.0;103;0.0;4.8
1608.0;0.0;3;0.0;4.4
992.0;0.0;17;0.0;2.7
1190.0;0.0;22;0.0;3.3
1747.0;0.0;17;0.0;4.8
1746.0;0.0;17;0.0;4.8
1344.0;0.0;92;0.0;3.7
1745.0;3.0;182;0.016;4.8
1747.0;0.0;2;0.0;4.8
1496.0;0.0;2;0.0;4.1
1747.0;0.0;218;0.0;4.8
1022.0;0.0;11;0.0;2.8
1448.0;0.0;49;0.0;4.0
730.0;0.0;4;0.0;2.0
306.0;0.0;34;0.0;0.8
1154.0;0.0;5;0.0;3.2
106.0;0.0;4;0.0;0.3
981.0;0.0;190;0.0;2.7
1190.0;0.0;58;0.0;3.3
47.0;0.0;5;0.0;0.1
183.0;0.0;11;0.0;0.5
607.0;0.0;42;0.0;1.7
1742.0;0.0;52;0.0;4.8
69.0;0.0;18;0.0;0.2
29.0;0.0;35;0.0;0.1
48.0;0.0;6;0.0;0.1
1747.0;0.0;8;0.0;4.8
276.0;0.0;92;0.0;0.8
435.0;0.0;35;0.0;1.2
186.0;0.0;8;0.0;0.5
1419.0;0.0;6;0.0;3.9
1745.0;0.0;430;0.0;4.8
109.0;0.0;12;0.0;0.3
248.0;0.0;2;0.0;0.7
1747.0;0.0;4;0.0;4.8
1746.0;0.0;44;0.0;4.8
69.0;0.0;133;0.0;0.2
1095.0;0.0;77;0.0;3.0
1368.0;0.0;29;0.0;3.7
506.0;0.0;32;0.0;1.4
837.0;0.0;101;0.0;2.3
1747.0;0.0;50;0.0;4.8
257.0;0.0;479;0.0;0.7
656.0;0.0;12;0.0;1.8
703.0;0.0;5;0.0;1.9
215.0;0.0;2;0.0;0.6
566.0;0.0;58;0.0;1.6
345.0;0.0;230;0.0;0.9
943.0;0.0;160;0.0;2.6
1725.0;0.0;54;0.0;4.7
244.0;0.0;3;0.0;0.7
389.0;0.0;108;0.0;1.1
229.0;0.0;73;0.0;0.6
1555.0;0.0;4;0.0;4.3
430.0;0.0;4;0.0;1.2
875.0;0.0;84;0.0;2.4
1329.0;0.0;27;0.0;3.6
184.0;0.0;7;0.0;0.5
1735.0;0.0;1;0.0;4.8
1218.0;1.0;5;0.2;3.3
47.0;1.0;9;0.111;0.1
1215.0;0.0;1;0.0;3.3
1259.0;0.0;121;0.0;3.4
1700.0;0.0;1;0.0;4.7
1026.0;0.0;49;0.0;2.8
151.0;0.0;105;0.0;0.4
543.0;0.0;12;0.0;1.5
962.0;0.0;131;0.0;2.6
1734.0;0.0;144;0.0;4.8
435.0;0.0;16;0.0;1.2
425.0;0.0;4;0.0;1.2
