;fabric_width(m);slice_tuple;total_slice;waste;qty;total_qty;%_of_total;%_of_valuable;%_of_waste
569;3.0;0.4|0.4|0.4|0.4|0.6|0.6|;2.8000000000000003;0.19999999999999973;1;748;0.001336898395721925;0.9333333333333335;0.06666666666666658
570;3.0;0.4|0.4|0.6;1.4;1.6;1;748;0.001336898395721925;0.4666666666666666;0.5333333333333333
578;3.0;0.4|0.7|0.8;1.9000000000000001;1.0999999999999999;1;748;0.001336898395721925;0.6333333333333334;0.36666666666666664
581;3.0;0.4|1.2|;1.6;1.4;1;748;0.001336898395721925;0.5333333333333333;0.4666666666666666
583;3.0;0.5|0.5|0.5|0.5|0.5|0.5|;3.0;0.0;1;748;0.001336898395721925;1.0;0.0
584;3.0;0.5|0.5|0.5|0.5|0.5;2.5;0.5;1;748;0.001336898395721925;0.8333333333333334;0.16666666666666666
585;3.0;0.5|0.5|0.5;1.5;1.5;1;748;0.001336898395721925;0.5;0.5
598;3.0;0.6|0.8|0.8;2.2;0.7999999999999998;1;748;0.001336898395721925;0.7333333333333334;0.2666666666666666
602;3.0;0.6|1.4|;2.0;1.0;1;748;0.001336898395721925;0.6666666666666666;0.3333333333333333
603;3.0;0.6|1.6|;2.2;0.7999999999999998;1;748;0.001336898395721925;0.7333333333333334;0.2666666666666666
605;3.0;0.7|0.7|;1.4;1.6;1;748;0.001336898395721925;0.4666666666666666;0.5333333333333333
617;3.0;1.2|1.6|;2.8;0.20000000000000018;1;748;0.001336898395721925;0.9333333333333332;0.06666666666666672
622;3.0;1.6;1.6;1.4;1;748;0.001336898395721925;0.5333333333333333;0.4666666666666666
555;2.8;0.6|1.6|;2.2;0.5999999999999996;28;294;0.09523809523809523;0.7857142857142858;0.21428571428571416
556;2.8;0.6;0.6;2.1999999999999997;27;294;0.09183673469387756;0.2142857142857143;0.7857142857142857
548;2.8;0.5|0.6|;1.1;1.6999999999999997;25;294;0.08503401360544217;0.3928571428571429;0.6071428571428571
557;2.8;0.8|1.0|;1.8;0.9999999999999998;24;294;0.08163265306122448;0.6428571428571429;0.3571428571428571
567;2.8;1.78;1.78;1.0199999999999998;22;294;0.07482993197278912;0.6357142857142858;0.3642857142857142
553;2.8;0.6|0.8|;1.4;1.4;19;294;0.06462585034013606;0.5;0.5
541;2.8;0.4|0.5|;0.9;1.9;16;294;0.05442176870748299;0.32142857142857145;0.6785714285714286
547;2.8;0.4;0.4;2.4;15;294;0.05102040816326531;0.14285714285714288;0.8571428571428572
563;2.8;1.0;1.0;1.7999999999999998;12;294;0.04081632653061224;0.35714285714285715;0.6428571428571428
565;2.8;1.4;1.4;1.4;12;294;0.04081632653061224;0.5;0.5
543;2.8;0.4|0.6|;1.0;1.7999999999999998;11;294;0.03741496598639456;0.35714285714285715;0.6428571428571428
